"";"X1";"X2";"X3";"X4";"X5";"X6";"X7";"X8"
"1";"M";"56713";"53198";"445";"55.0";"0.0";"0.0";"996"
"2";"M";"56713";"53195";"445";"55.0";"0.0";"0.0";"996"
"3";"M";"56713";"53193";"446";"55.0";"0.0";"0.0";"996"
"4";"M";"56713";"53191";"446";"55.0";"0.0";"0.0";"996"
"5";"M";"56713";"53187";"446";"55.0";"0.0";"0.0";"996"
"6";"M";"56713";"53182";"447";"55.0";"0.0";"0.0";"996"
"7";"M";"56713";"53178";"447";"55.0";"0.0";"0.0";"996"
"8";"M";"56713";"53176";"448";"55.0";"0.0";"0.0";"996"
"9";"M";"56713";"53175";"448";"55.0";"0.0";"0.0";"996"
"10";"M";"56713";"53174";"448";"55.0";"0.0";"0.0";"996"
"11";"M";"56713";"53175";"449";"55.0";"0.0";"0.0";"996"
"12";"M";"56713";"53177";"449";"55.0";"0.0";"0.0";"996"
"13";"M";"56713";"53178";"449";"55.0";"0.0";"0.0";"996"
"14";"M";"56713";"53178";"449";"55.0";"0.0";"0.0";"996"
